pid,name,team,pos,height_in,ratings_hgt,ratings_diq,ovr,valueNoPot,skills,gp,mpg,dbpm,obpm,bpm,pm100,onOff100,stl_per36,blk_per36,trb_per36,old_category,v2_category,why_v2_category,credibility_flag
857,Yuri Collins,BKN,PG,72,22,46,35,34.05,,0,0.00,-1.6758,-6.1471,-7.8229,0.00,-5.13,0.000,0.000,0.00,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
863,Sharife Cooper,DET,PG,73,26,28,44,43.15,Ps,29,6.60,0.9696,3.8692,4.8388,7.48,4.53,1.128,0.188,2.82,suspicious_positive_dbpm_small_guard,A1_yogi_type_positive_context,"DBPM > 0, but ratings weak (DIQ <= 60, no Dp). Supported by positive PM100 and OnOff",SUSPICIOUS_CONTEXT_SUPPORTED
880,JD Davison,CHA,G,73,33,21,33,32.43,,4,1.32,-0.9068,6.9033,5.9965,18.22,15.24,0.000,0.000,0.00,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
890,RayJ Dennis,MIN,PG,74,29,40,38,36.72,,3,2.23,1.3348,5.6630,6.9978,42.50,48.72,0.000,0.000,5.39,suspicious_positive_dbpm_small_guard,A3_low_sample_positive_dbpm,Low sample size (MPG < 12 and GP < 20) with positive DBPM,SUSPICIOUS_LOW_SAMPLE
899,Rob Dillingham,POR,PG,73,29,39,41,39.39,,4,1.92,1.8188,-4.4108,-2.5921,6.20,8.32,4.681,0.000,0.00,suspicious_positive_dbpm_small_guard,A3_low_sample_positive_dbpm,Low sample size (MPG < 12 and GP < 20) with positive DBPM,SUSPICIOUS_LOW_SAMPLE
907,Devon Dotson,IND,PG,74,30,67,66,61.38,"3,Ps,V",68,33.33,0.3500,2.4356,2.7856,1.01,4.62,2.113,0.254,5.02,credible_positive_dbpm_small_guard,B_credible_positive_dbpm_small_guard,"DBPM > 0, supported by credible defense ratings (DIQ > 60 or Dp present)",CREDIBLE
940,DJ Steward,LAL,SG,74,29,48,52,49.19,,64,10.05,-1.4052,-2.4192,-3.8244,-3.83,-4.60,1.399,0.112,5.65,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1239,Darius Garland,CLE,G,73,33,53,58,54.18,3,46,30.11,-1.0290,-1.1450,-2.1740,-3.03,-3.54,0.832,0.182,3.51,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1288,Jared Harper,LAL,PG,70,19,45,58,55.55,"3,B,Ps",67,25.05,0.1439,2.6018,2.7457,-3.33,-5.82,1.137,0.215,1.93,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
1311,Aaron Holiday,NOL,PG,72,35,48,58,54.41,3,70,23.18,-0.5687,0.9346,0.3658,4.25,7.43,0.932,0.177,3.37,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1332,Bones Hyland,CLE,G,74,31,36,40,38.87,,31,3.33,-3.4878,-5.7779,-9.2657,-14.61,-14.26,0.349,0.349,3.83,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1344,Bronny James,UTA,SG,74,33,40,34,33.26,,34,5.59,-3.0770,-6.0116,-9.0886,-6.81,-14.22,1.136,0.000,1.32,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1387,Yuki Kawamura,TOR,PG,68,7,40,42,40.28,"3,Ps",7,2.33,-6.0216,-10.1230,-16.1446,17.62,16.13,0.000,0.000,0.00,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1405,Tyler Kolek,GSW,PG,73,29,37,39,37.70,,17,4.23,-2.3545,-2.1804,-4.5349,-12.76,-12.00,0.501,0.000,3.51,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1422,Saben Lee,PHI,PG,74,30,71,74,68.38,"3,B,Dp,Ps,V",61,37.16,2.4413,6.3054,8.7467,9.01,4.85,2.017,0.191,4.32,credible_positive_dbpm_small_guard,B_credible_positive_dbpm_small_guard,"DBPM > 0, supported by credible defense ratings (DIQ > 60 or Dp present)",CREDIBLE
1441,Daryl Macon,WAS,G,74,42,42,50,46.86,,57,8.18,-2.9594,-4.0393,-6.9986,-8.60,-7.81,0.463,0.154,4.56,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1449,Nico Mannion,SA,PG,74,31,50,57,54.83,Ps,51,28.36,0.3300,2.2523,2.5823,-4.86,-2.63,0.846,0.100,4.33,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
1459,Jeremiah Martin,ORL,PG,75,30,44,56,53.28,"B,Ps",66,26.63,-0.3402,0.2076,-0.1326,-8.19,2.77,0.983,0.143,3.91,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1469,Tyrese Maxey,MIN,G,74,33,35,47,44.50,,82,11.34,-2.7489,-5.8307,-8.5796,-12.36,-8.11,0.813,0.077,2.28,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1472,Miles McBride,NYK,PG,74,26,55,58,53.93,3,79,22.24,-1.4450,-0.1299,-1.5748,-8.67,-9.21,1.311,0.225,2.85,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1473,Jared McCain,NYK,G,74,33,34,49,46.57,3,9,8.26,-2.6097,-1.2896,-3.8994,3.24,6.91,0.484,0.000,2.42,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1475,Mac McClung,ORL,G,74,30,44,50,47.37,,73,7.15,-1.4135,-4.6927,-6.1063,-8.91,0.94,1.517,0.207,4.83,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1489,De'Anthony Melton,ORL,G,74,40,54,44,42.11,,31,4.59,0.8898,-4.8022,-3.9124,-7.76,2.04,2.279,0.000,3.80,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
1495,Mike Miles Jr.,CHI,PG,74,30,35,34,33.35,,8,2.43,0.7052,7.8346,8.5398,-7.29,-4.59,0.000,0.000,3.70,suspicious_positive_dbpm_small_guard,A3_low_sample_positive_dbpm,Low sample size (MPG < 12 and GP < 20) with positive DBPM,SUSPICIOUS_LOW_SAMPLE
1506,Davion Mitchell,LAL,PG,74,22,58,55,50.23,,67,13.02,-1.2079,-5.8391,-7.0470,-3.10,-4.00,2.147,0.165,4.71,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1519,Ja Morant,SAC,PG,74,33,43,69,65.04,"B,Ps,V",69,35.27,1.6192,5.8058,7.4249,-2.67,-4.29,0.991,0.311,8.49,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
1549,Kendrick Nunn,BOS,G,74,33,33,42,39.36,3,25,5.10,-0.2543,3.0802,2.8259,7.09,6.43,0.564,0.282,1.97,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1586,Scotty Pippen Jr.,BOS,PG,73,26,49,53,49.90,,53,11.89,-1.3736,-2.6338,-4.0074,1.21,0.41,0.743,0.114,3.37,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1594,Craig Porter Jr.,GSW,PG,74,32,37,35,34.22,,14,3.67,-2.6019,-5.4854,-8.0872,2.82,3.85,2.104,0.000,7.71,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1605,Payton Pritchard,IND,G,73,32,41,51,48.26,3,70,9.04,-1.0567,-0.9336,-1.9902,-1.73,-0.90,0.968,0.057,6.20,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1671,Collin Sexton,NYK,G,75,29,65,69,62.95,"3,Ps,V",35,33.08,1.2354,5.7997,7.0352,0.87,6.23,1.493,0.311,6.00,credible_positive_dbpm_small_guard,B_credible_positive_dbpm_small_guard,"DBPM > 0, supported by credible defense ratings (DIQ > 60 or Dp present)",CREDIBLE
1677,Jamal Shead,CLE,PG,72,30,38,35,34.10,,11,2.38,-1.1077,-0.4383,-1.5460,-21.60,-21.01,0.000,0.000,0.00,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1679,Reed Sheppard,ATL,G,74,31,39,38,36.74,3,6,4.33,-3.7419,-4.0406,-7.7825,-40.29,-39.78,0.000,0.000,8.31,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1685,KJ Simpson,SAC,PG,72,29,52,49,46.40,,52,3.86,-1.1253,-6.8207,-7.9460,-2.62,-1.68,1.435,0.000,4.13,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1699,Nick Smith Jr.,UTA,SG,74,41,53,66,59.56,"3,V",49,29.23,-0.3288,1.9462,1.6174,15.18,13.28,1.181,0.176,4.85,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1729,Tyrell Terry,POR,PG,74,33,67,63,58.84,,69,27.95,0.9695,1.7036,2.6732,-2.79,-1.35,2.147,0.149,5.08,credible_positive_dbpm_small_guard,B_credible_positive_dbpm_small_guard,"DBPM > 0, supported by credible defense ratings (DIQ > 60 or Dp present)",CREDIBLE
1782,Duane Washington Jr.,CLE,G,75,30,38,42,40.39,3,54,3.64,-2.0225,-4.0079,-6.0304,-8.64,-8.33,0.550,0.183,2.93,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1787,Tremont Waters,SA,PG,70,18,59,49,46.77,,76,7.74,0.3606,-1.6812,-1.3206,-5.77,-3.03,2.265,0.184,2.26,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
1809,Brandon Williams,DEN,PG,73,29,45,52,49.90,,69,8.58,0.1455,3.6323,3.7778,-0.64,3.36,0.912,0.243,4.74,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
1828,Cassius Winston,IND,PG,73,26,34,59,57.42,"3,B,Ps,V",71,27.95,-0.8240,4.9881,4.1642,0.02,1.99,0.635,0.127,2.41,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
1840,Trae Young,CLE,PG,73,31,56,73,68.06,"A,B,Dp,Po,Ps,V",78,38.66,2.3805,6.5745,8.9549,1.80,10.67,1.289,0.322,7.78,credible_positive_dbpm_small_guard,B_credible_positive_dbpm_small_guard,"DBPM > 0, supported by credible defense ratings (DIQ > 60 or Dp present)",CREDIBLE
